code,name_en,name_zh,close_price,turnover_hkd,suspended
01830,PERFECT MEDICAL,完美醫療,1.14,249280.0,False
01831,SHIFANG HLDG,十方控股,0.47,623100.0,False
01832,SAI LEISURE,海天地悅旅,0.76,28910.0,False
01833,PA GOODDOCTOR,平安好醫生,11.67,152673816.0,False
01835,REALWAY CAPITAL,瑞威資管,1.24,,False
01836,STELLA HOLDINGS,九興控股,14.1,19868368.0,False
01837,NATURAL FOOD IH,五谷磨房,1.43,1574420.0,False
01841,A.PLUS GROUP,優越集團控股,0.235,11750.0,False
01842,GROWN UP GROUP,植華集團,0.049,28152.0,False
01843,SNACK EMPIRE,快餐帝國,0.15,214972.0,False
01845,WG ENV TECH,維港環保科技,0.24,,False
01846,EUROEYES,德視佳,2.69,,False
01847,GHPC,雲南建投混凝土,0.49,,False
01848,CALC,中國飛機租賃,3.89,842280.0,False
01849,AM GROUP,秀商時代控股,,,True
01850,HSC RESOURCES,鴻盛昌資源,1.23,65830926.0,False
01851,GINGKO EDU,銀杏教育,4.2,8583500.0,False
01853,CHUNCHENG HEAT,春城熱力,1.75,,False
01854,CHINA WANTIAN,中國萬天控股,1.15,11500.0,False
01855,ZONQING LTD,中慶股份,0.355,915250.0,False
01856,ERNEST BOREL,依波路,1.59,1590.0,False
01857,CEB WATER,中國光大水務,1.45,686680.0,False
01858,CHUNLI MEDICAL,春立醫療,12.54,22083892.0,False
01860,MOBVISTA,匯量科技,13.68,112337946.0,False
01861,PRECIOUS DRAGON,保寶龍科技,1.85,,False
01862,JINGRUI HLDGS,景瑞控股,,,True
01863,CHI LONGEVITY,中國龍天集團,,,True
01865,PENGO HLDG GP,鵬高控股集團,0.57,7973320.0,False
01866,CHINA XLX FERT,中國心連心化肥,11.54,83431285.0,False
01867,STD DEV GROUP,標準發展集團,0.241,71980.0,False
01868,NEO-NEON,同方友友,0.325,,False
01869,KAFELAKU COFFEE,貓屎咖啡控股,0.104,62310.0,False
01870,ACME INTL HLDGS,益美國際控股,0.37,2005275.0,False
01871,CHINA ORIENTED,向中國際,0.36,168560.0,False
01872,GUAN CHAO HLDGS,冠轈控股,5.74,5972050.0,False
01873,VIVA BIOTECH,維亞生物,1.99,13572937.0,False
01875,BIODLINK-B,東曜藥業－Ｂ,5.66,10391676.0,False
01876,BUD APAC,百威亞太,7.14,55075124.0,False
01877,JUNSHI BIO,君實生物,23.08,103794832.0,False
01878,SOUTHGOBI,南戈壁,2.02,2561510.0,False
01880,CTG DUTY-FREE,中國中免,64.0,70484509.0,False
01881,REGAL REIT,富豪產業信託,0.355,1356510.0,False
01882,HAITIAN INT'L,海天國際,20.36,40126200.0,False
01883,CITIC TELECOM,中信國際電訊,2.76,9553345.0,False
01884,EPRINT GROUP,ＥＰＲＩＮＴ集團,0.105,,False
01888,KB LAMINATES,建滔積層板,20.04,243524382.0,False
01889,SANAI HEALTH GP,三愛健康集團,0.33,,False
01890,CHINA KEPEI,中國科培,1.25,148740.0,False
01891,HENG HUP,興合控股,0.148,,False
01895,XINYUAN PM,鑫苑服務,0.445,41200.0,False
01896,MAOYAN ENT,貓眼娛樂,5.69,65923269.0,False
01897,MILLIONHOPE IND,美亨實業,0.52,102.0,False
01899,XINGDA INT'L,興達國際,1.19,233780.0,False
01900,CHINA ITS,中國智能交通,0.275,388810.0,False
01901,FEIYANG GROUP,飛揚集團,0.36,250510.0,False
01903,JBB BUILDERS,,2.38,110840.0,False
01905,HAITONG UT,海通恆信,0.83,3277960.0,False
01906,BONNY HLDG,博尼控股,0.56,1537400.0,False
01907,CHINA RISUN GP,中國旭陽集團,3.39,165450167.0,False
01909,FIRE ROCK,火岩控股,2.46,,False
01910,SAMSONITE,新秀麗,14.59,126829240.0,False
01911,CR HOLDINGS,華興資本控股,3.37,1533738.0,False
01912,CONTEL,康特隆,0.36,,False
01913,PRADA,普拉達,36.5,50558091.0,False
01915,TAIHE M-FIN,泰和小貸,,,True
01916,JIANGXI BANK,江西銀行,0.68,681730.0,False
01917,DOUMOB,豆盟科技,0.128,73400.0,False
01918,SUNAC,融創中國,1.05,102901730.0,False
01919,COSCO SHIP HOLD,中遠海控,15.26,300410949.0,False
01920,CHINA WACAN,中國網成,0.99,9880100.0,False
01921,DALIPAL HLDG,達力普控股,6.8,40804320.0,False
01922,RUISEN LIFE SER,瑞森生活服務,,,True
01925,KWUNGS AROMA,曠世芳香,1.23,51660.0,False
01927,JIUJIUWANG,久久王,0.155,224165.0,False
01928,SANDS CHINA LTD,金沙中國有限公司,16.35,296910367.0,False
01929,CHOW TAI FOOK,周大福,10.82,110342864.0,False
01930,SHINELONG,勛龍,0.4,4760.0,False
01931,ETHK LABS INC.,華檢醫療,1.07,1022893.0,False
01932,CPM GROUP,中漆集團,0.24,27440.0,False
01933,ONEFORCE HLDGS,元力控股,0.215,5160.0,False
01935,JH EDUCATION,嘉宏教育,1.11,366940.0,False
01936,RITAMIX,利特米,0.83,,False
01937,JIACHEN HOLDING,佳辰控股,0.136,404705.0,False
01938,CHU KONG PIPE,珠江鋼管,0.365,70410.0,False
01939,SHANGSHAN GOLD,上善黃金,0.53,346520.0,False
01940,CGII HLDGS,,1.36,735360.0,False
01941,YE XING GROUP,燁星集團,0.305,188880.0,False
01942,MOG DIGITECH,馬可數字科技,0.195,679356.0,False
01943,KING'S STONE,金石控股集團,0.65,1960450.0,False
01945,ZERO2IPO,清科控股,1.66,327024.0,False
01947,MEIHAO GROUP,美皓集團,0.37,77900.0,False
01948,UJU HOLDING,優矩控股,4.27,231830.0,False
01949,PLATT NERA,佰達國際控股,0.78,31240.0,False
01950,DIWANG IND H,帝王實業控股,0.15,95476.0,False
01951,JXR,錦欣生殖,2.34,43281685.0,False
01952,EVEREST MED,雲頂新耀,37.8,166794027.0,False
01953,RIMBACO,,0.56,5739700.0,False
01955,JOHNSON HLDGS,莊臣控股,0.53,67420.0,False
01957,MBV INTL,大人國際,0.189,41232.0,False
01958,BAIC MOTOR,北京汽車,1.45,14395091.0,False
01959,ZHONG JU INVEST,中聚投資,4.6,2365440.0,False
01960,TBKS HLDGS,,0.4,527250.0,False
01961,INFINITIES TECH,多牛科技,0.25,4706328.0,False
01962,EVERGREEN PG,訓修實業,0.46,540560.0,False
01963,BCQ,重慶銀行,8.02,12631627.0,False
01965,LANDSEA LIFE,朗詩綠色生活,0.147,,False
01966,CHINA SCE GROUP,中駿集團控股,0.062,222034.0,False
01967,CONFIDENCE IN,信懇智能,0.4,71969.0,False
01968,HINGTEX HLDGS,興紡控股,0.182,2960.0,False
01969,CHINA CHUNLAI,中國春來,1.41,1271520.0,False
01970,IMAX CHINA,,7.72,508158.0,False
01971,RSUN SER,弘陽服務,0.325,9200.0,False
01972,SWIREPROPERTIES,太古地產,23.62,56808319.0,False
01973,TIAN TU CAPITAL,天圖投資,2.58,374264.0,False
01975,SUN HING PRINT,新興印刷,0.37,4520.0,False
01977,ANALOGUE HLDGS,安樂工程,0.97,98860.0,False
01978,LH GROUP,敘福樓集團,0.32,,False
01979,TEN PAO GROUP,天寶集團,2.3,1325320.0,False
01980,TIANGE,天鴿互動,0.71,4910230.0,False
01981,CATHAY GP HLDGS,華夏控股,0.86,2044160.0,False
01982,NAMESON HLDGS,南旋控股,1.01,1942580.0,False
01983,LUZHOU BANK,瀘州銀行,2.0,,False
01985,MICROWARE,美高域,1.21,,False
01986,TSAKER NE,彩客新能源,0.88,1347940.0,False
01987,BENG SOON MACH,,0.188,,False
01988,MINSHENG BANK,民生銀行,3.85,49099746.0,False
01989,DELTON,廣合科技,100.5,265530006.0,False
01991,TA YANG GROUP,大洋集團,0.6,746576.0,False
01993,ASIARAY,雅仕維,0.62,325.0,False
01995,ES SERVICES,永升服務,1.68,3130240.0,False
01996,RSUN PPT,弘陽地產,0.026,50.0,False
01997,WHARF REIC,九龍倉置業,22.76,224146845.0,False
01999,MAN WAH HLDGS,敏華控股,4.32,23155462.0,False
02000,SIM TECH,晨訊科技,0.275,7020.0,False
02001,NEW HIGHER EDU,新高教集團,0.77,1688460.0,False
02002,SUNSHINE PAPER,陽光紙業,0.98,1064160.0,False
02003,VCREDIT,維信金科,1.6,2204.0,False
02005,SSY GROUP,石四藥集團,2.51,45292720.0,False
02007,COUNTRY GARDEN,碧桂園,0.32,57718187.0,False
02008,PHOENIX TV,鳳凰衛視,1.86,1850.0,False
02009,BBMG,金隅集團,0.76,8454511.0,False
02011,GILSTON GROUP,進騰集團,1.14,9120.0,False
02012,SUNSHINE OIL,陽光油砂,0.425,4917071.0,False
02013,WEIMOB INC,微盟集團,1.45,73149111.0,False
02015,LI AUTO-W,理想汽車－Ｗ,68.8,699443621.0,False
02016,CZBANK,浙商銀行,2.61,9774070.0,False
02017,CHANHIGH,滄海控股,0.205,848.0,False
02018,AAC TECH,瑞聲科技,33.78,119530053.0,False
02020,ANTA SPORTS,安踏體育,74.85,1091219568.0,False
02022,DIGIT HOLLYWOOD,遊萊互動,0.051,768.0,False
02023,CHINA LUDAO,中國綠島科技,0.81,58960.0,False
02025,RUIFENG POWER,瑞豐動力,12.36,3783140.0,False
02026,PONY-W,小馬智行－Ｗ,72.3,44465680.0,False
02028,JOLIMARK,映美控股,0.132,,False
02030,CABBEEN,卡賓,1.3,123130.0,False
02031,AUSUPREME,澳至尊,0.355,,False
02033,TIME WATCH,時計寶,0.29,,False
02038,FIH,富智康集團,20.0,10862012.0,False
02039,CIMC,中集集團,10.25,10479070.0,False
02048,E-HOUSE ENT,易居企業控股,0.063,193.0,False
02050,SANHUA,三花智控,28.3,188013886.0,False
02051,VALA,,0.63,1575900.0,False
02057,ZTO EXPRESS-W,中通快遞－Ｗ,191.7,695408871.0,False
02068,CHALIECO,中鋁國際,2.99,435067170.0,False
02076,BOSS ZHIPIN-W,ＢＯＳＳ直聘－Ｗ,51.45,3430341.0,False
02078,PANASIALUM,榮陽實業,0.126,1511.0,False
02080,AUX INTL,奧克斯國際,0.285,2770.0,False
02086,LEADWAY TECH,高維科技,0.45,,False
02088,XIWANG PROPERTY,西王置業,,,True
02096,SIMCERE PHARMA,先聲藥業,12.55,86822791.0,False
02097,MIXUE GROUP,蜜雪集團,285.0,212509901.0,False
02098,ZALL SMARTCOM,卓爾智聯,0.105,275663.0,False
02099,CHINAGOLDINTL,中國黃金國際,156.2,366489549.0,False
02100,BAIOO,百奧家庭互動,0.44,661890.0,False
02101,FULU HOLDINGS,福祿控股,1.15,6900.0,False
02102,TAK LEE MACH,德利機械,0.3,36100.0,False
02105,LAEKNA-B,來凱醫藥－Ｂ,15.01,35096510.0,False
02107,FIRST SERVICE,第一服務控股,0.152,463057.0,False
02110,TIAN CHENG HLDG,天成控股,0.101,,False
02111,BEST PACIFIC,超盈國際控股,2.66,7411000.0,False
02112,GRACE LIFE-TECH,恩典生命科技,0.07,108368.0,False
02113,CENTURY GP INTL,世紀集團國際,0.063,12095.0,False
02116,JS INNOV,江蘇創新,0.74,16240.0,False
02119,TSIT WING INTL,捷榮國際控股,0.49,5930.0,False
02120,KN HOSPITAL,康寧醫院,8.51,45203.0,False
02121,AINNOVATION,創新奇智,5.04,9054300.0,False
02122,KIDSLAND INTL,凱知樂國際,0.186,507650.0,False
02125,STRAWBEAR ENT,稻草熊娛樂,0.4,405.0,False
02126,JW THERAP-B,藥明巨諾－Ｂ,1.92,845826.0,False
02127,HUISEN SHARES,匯森股份,,,True
02128,CHINA LESSO,中國聯塑,5.16,24688390.0,False
02129,LEGION CONSO,,0.151,78870.0,False
02130,CN LOGISTICS,嘉泓物流,3.28,19590.0,False
02131,NETJOY,云想科技,,,True
02132,LANDRICH HLDG,譽燊豐控股,0.138,28704.0,False
02135,RAILY AESMED,瑞麗醫美,0.136,49356.0,False
02136,LIFESTYLE CHI,利福中國,0.64,486755.0,False
02137,BRII-B,騰盛博藥－Ｂ,1.39,450025.0,False
02138,EC HEALTHCARE,醫思健康,0.465,312535.0,False
02139,BANK OF GANSU,甘肅銀行,0.325,16702145.0,False
02142,HBM HOLDINGS-B,和鉑醫藥－Ｂ,12.51,39402670.0,False
02145,CHICMAX,上美股份,53.45,96055797.0,False
02146,ROISERV,榮萬家,1.06,530.0,False
02147,ZHENGWEI GROUP,正味集團,0.64,5960.0,False
02149,BATELAB,貝克微,33.18,2678904.0,False
02150,NAYUKI,奈雪的茶,0.87,1330200.0,False
02152,SUXIN SERVICES,蘇新服務,4.68,,False
02153,TAT HONG EQUIP,達豐設備,0.94,,False
02155,MORIMATSU INTL,森松國際,6.7,75209444.0,False
02157,LEPU BIO-B,樂普生物－Ｂ,5.41,99997165.0,False
02158,YIDU TECH,醫渡科技,4.95,15435832.0,False
02159,MEDIWELCOME,麥迪衛康,2.0,2195160.0,False
02160,MP CARDIO-B-NEW,微創心通－Ｂ－新,3.06,5258144.0,False
02161,JBM HEALTHCARE,健倍苗苗,2.64,264600.0,False
02162,KEYMED BIO-B,康諾亞－Ｂ,60.15,223479646.0,False
02163,BROAD HOMES,遠大住工,,,True
02165,LING YUE SER GP,領悅服務集團,1.92,,False
02166,SMART-CORE,芯智控股,2.77,397800.0,False
02167,TI CLOUD,天潤雲,3.35,12994.0,False
02168,KAISA PROSPER,佳兆業美好,1.1,63712.0,False
02169,CANGGANGRAILWAY,滄港鐵路,0.59,255320.0,False
02170,BASECARE-B,貝康醫療－Ｂ,2.05,260115.0,False
02171,CARSGEN-B,科濟藥業－Ｂ,17.42,123440800.0,False
02172,MICROPORT NEURO,微創腦科學,10.7,16581519.0,False
02175,CH GENERAL EDU,中國通才教育,3.21,1233620.0,False
02176,CCID CONSULTING,賽迪顧問,1.2,,False
02177,UNQ HOLDINGS,優趣匯控股,2.39,,False
02178,PETRO-KING,百勤油服,0.34,11562630.0,False
02179,RECBIO-B,瑞科生物－Ｂ,4.09,114260.0,False
02180,MANPOWER GRC,萬寶盛華,4.87,513578.0,False
02181,MABPHARM-B,邁博藥業－Ｂ,0.53,278940.0,False
02182,TIAN CHANG GP,天長集團,0.375,,False
02185,BIOHEART-B,百心安－Ｂ,4.06,2330116.0,False
02186,LUYE PHARMA,綠葉製藥,2.42,38185275.0,False
02187,ZHIXIN GP HLDG,智欣集團控股,0.88,214220.0,False
02188,TITANS ENERGY,泰坦能源技術,0.148,,False
02189,KATO (HK) HLDGS,嘉濤（香港）控股,0.45,90000.0,False
02190,ZYLOXTB,歸創通橋,23.82,12850168.0,False
02191,SF REIT,順豐房託,2.52,3371750.0,False
02192,MEDLIVE,醫脈通,8.43,39771120.0,False
02193,MAN KING HOLD,萬景控股,0.285,,False
02196,FOSUN PHARMA,復星醫藥,19.76,89181180.0,False
02197,CLOVER BIO-B,三葉草生物－Ｂ,2.76,16970570.0,False
02198,CHINA SANJIANG,中國三江化工,5.12,140280370.0,False
02199,REGINA MIRACLE,維珍妮,1.99,732800.0,False
02202,CHINA VANKE,萬科企業,2.9,55929667.0,False
02203,BRAINHOLE TECH,腦洞科技,0.17,172730.0,False
02205,KANGQIAO SER,康橋悅生活,1.05,,False
02208,GOLDWIND,金風科技,14.92,812544948.0,False
02210,BEIJING JIAYE,京城佳業,2.39,209980.0,False
02211,UNI HEALTH,大健康國際,0.52,68400.0,False
02212,FB MINING,高鵬礦業,0.16,4800.0,False
02215,DEXIN SER GROUP,德信服務集團,0.26,790.0,False
02218,ANDRE JUICE,安德利果汁,14.96,3450715.0,False
02219,CHAOJU EYE CARE,朝聚眼科,2.59,2531498.0,False
02221,NEW CONCEPTS,創業集團控股,0.98,245720.0,False
02222,NVC INTL,雷士國際,0.65,218300.0,False
02223,CASABLANCA,卡撒天嬌,0.93,199640.0,False
02225,JINHAI MED TECH,今海醫療科技,2.07,49515500.0,False
02227,SOLIS HOLDINGS,守益控股,0.26,146204.0,False
02228,XTALPI,晶泰控股,9.29,487052295.0,False
02230,MEDIALINK GROUP,羚邦集團,0.226,109340.0,False
02231,JY GRANDMARK,景業名邦集團,0.037,19530.0,False
02232,CRYSTAL INTL,晶苑國際,5.96,45570663.0,False
02233,WESTCHINACEMENT,西部水泥,2.19,93396346.0,False
02235,MICROTECH MED-B,微泰醫療－Ｂ,7.01,39381.0,False
02236,WISON ENGRG,惠生工程,0.55,4228070.0,False
02237,CHINA GRAPHITE,中國石墨,0.31,58900.0,False
02238,GAC GROUP,廣汽集團,3.0,89313669.0,False
02239,SMIT,國微控股,0.83,17480.0,False
02245,LYGEND RESOURCE,力勤資源,18.96,96696936.0,False
02246,GOGOX,快狗打車,1.94,222240.0,False
02250,B.DUCK SEMK,小黃鴨德盈,0.62,24940.0,False
02251,AIRDOC-B,鷹瞳科技－Ｂ,10.49,430711.0,False
02252,MEDBOT-B,微創機器人－Ｂ,25.7,127073611.0,False
02255,HAICHANG HLDG,海昌海洋公園,0.485,7369955.0,False
02256,ABBISKO-B,和譽－Ｂ,12.35,7388230.0,False
02257,SIRNAOMICS-B,聖諾醫藥－Ｂ,6.29,1290979.0,False
02258,WATTS INT'L,華滋國際海洋,0.191,1162.0,False
02260,VANOV HOLDINGS,環龍控股,1.22,,False
02262,SLD GROUP,梁志天設計集團,0.75,72960.0,False
02263,FU SHEK FIN,富石金融,0.29,229700.0,False
02265,HC ENV TECH,鴻承環保科技,1.61,879700.0,False
02266,LAI SI ENT,黎氏企業,0.405,6360.0,False
02268,WUXI XDC,藥明合聯,57.25,254362977.0,False
02269,WUXI BIO,藥明生物,31.36,1303641149.0,False
02270,DESUN SERVICES,德商產投服務,4.09,16340.0,False
